"Product ID","Code","Name","Quantity Fix","Pallets Fix","Colis Fix","Base Price Fix","Purchase Price Fix"
"1838","TIMGAD CERAM","IBIZA POLI REC 45/90","1156.68 -> 1292.7600000000002","17 -> 19","952 -> 1064","1500 -> 1500.0006","1400 -> 1400"
"664","ROYAL CERAM","IBRA BEIGE 50/50","144 -> 144","2 -> 2","96 -> 96","730 -> 730","1 -> 0"
"7","TECHNO CERAM","IDEAL NATUREL POLI REC 90/90","6635.52 -> 6674.4000000000015","102.4 -> 103","4096 -> 4120","1650 -> 1649.9998","1550 -> 1550"
"328","ROYAL CERAM","ILMA BEIGE 30/60","777.6 -> 777.6","10 -> 10","720 -> 720","700 -> 700","10 -> 0"
"298","ROYAL CERAM","ILMA MARON 30/60","855.36 -> 855.36","11 -> 11","792 -> 792","700 -> 700","11 -> 0"
"3718","GALA CERAM","INTERWOOD SAND 45/90","408.24 -> 349.9200000000001","7 -> 6","336 -> 288","1100 -> 1100","1000 -> 1000"
"62","TIMGAD CERAM","JAGUAR BLACK POLI REC 120/60","268.08 -> 210","3.83 -> 3","134.04 -> 105","1300 -> 1299.9996","1200 -> 1200"
"286","ELVA CERAM","JAPAN LIGHT REC 60/60","620.28 -> 622.0799999999999","11.97 -> 12","430.75 -> 431.99999999999994","980 -> 979.99964","920 -> 920"
"58","TECHNO CERAM","JOY PERLA POLI REC 60/60","103.68 -> 0","2 -> 0","72 -> 0","1480 -> 1480.0002","1400 -> 1400"
"3057","TIMGAD CERAM","JULIA CREMA RELIEFE 30/90 (M²)","3167.1 -> 3167.1000000000004","54.31 -> 54.3055555555556","1955 -> 1955","1000 -> 999.9999","900 -> 900"
"44","TECHNO CERAM","JUPITER MARBRE POLI REC 45/90 (48C)","2223.45 -> 2216.1600000000003","38.13 -> 38","1830 -> 1824","1500 -> 1500.0006","1400 -> 1400"
"3604","TIMGAD CERAM","KING CREMA 45/90","1156.68 -> 1292.7600000000002","17 -> 19","952 -> 1064","1100 -> 1100","1000 -> 1000"
"3685","TIMGAD CERAM","KING IVORY 45/90","2721.6 -> 2993.76","40 -> 44","2240 -> 2464","1100 -> 1100","1000 -> 1000"
"3719","TIMGAD CERAM","KING IVORY RELIEFE 45/90","336 -> 0","4.94 -> 0","276.54 -> 0","1150 -> 1149.9999","1050 -> 1050"
"14","TIMGAD CERAM","LAND GRIS REC 60/60","1620 -> 0","31.25 -> 0","1125 -> 0","1000 -> 1000.00044","920 -> 920"
"3605","GALA CERAM","LAND RELIEFE 45/90","14.58 -> 14.58","0.21 -> 0.214285714285714","12 -> 12","1150 -> 1149.9999","1050 -> 1050"
"212","GALA CERAM","LENOX GRIS 45/45","733.7948 -> 735.1872","10.98 -> 11","527 -> 527.9999999999999","830 -> 830.00025","750 -> 750"
"21","GALA CERAM","LENOX GRIS REC 60/60","570.24 -> 518.4","11 -> 10","396 -> 360","980 -> 979.99964","920 -> 920"
"3084","TIMGAD CERAM","LEO CREMA RELIEFE 25/75 (M²)","429 -> 429","4.47 -> 4.46875","286 -> 286","880 -> 880","800 -> 800"
"3085","TIMGAD CERAM","LEO MARFIL RELIEFE 25/75 (M²)","417 -> 417","4.34 -> 4.34375","278 -> 278","880 -> 880","800 -> 800"
"3606","GRAND CERAM","LIGHT GOLD REC 60/60","155.52 -> 0","3 -> 0","108 -> 0","0 -> 0","0 -> 0"
"203","TIMGAD CERAM","LONDON POLI REC 45/90","930.69 -> 952.5600000000001","13.68 -> 14","766 -> 784","1500 -> 1500.0006","1400 -> 1400"
"8","NEW TECH","LOOK 45/45","4162.02 -> 4157.76","61.06 -> 61","2931 -> 2928","700 -> 699.99996","660 -> 660"
"807","CONFORT CERAM","LORA BEIGE REC 60/60","51.84 -> 51.839999999999996","1 -> 1","36 -> 36","0 -> 0","1 -> 0"
"23","TECHNO CERAM","LORA GRIS 45/90","2855.25 -> 2857.6800000000003","48.96 -> 49","2350 -> 2352","1150 -> 1149.9999","1050 -> 1050"
"1061","TIMGAD CERAM","LUKE PERLA TERRE CUITE 45/45","72.9 -> 0","1 -> 0","72 -> 0","870 -> 869.9999","770 -> 770"
"3371","GRAND CERAM","LUXE REC 60/60","466.56 -> 518.4","9 -> 10","324 -> 360","0 -> 0","920 -> 0"
"3607","TECHNO CERAM","LUXOR NOIR POLI REC 120/60","70 -> 0","1 -> 0","35 -> 0","1280 -> 1280.0004","1200 -> 1200"
"329","CONFORT CERAM","MADERA GRIS 120/60","417.84 -> 420","5.97 -> 6","208.92 -> 210","0 -> 0","800 -> 0"
"3129","TIMGAD CERAM","MADRID RELIEFE 45/90 (M²)","767.88 -> 767.88","11.29 -> 11.2857142857143","632 -> 632","1150 -> 1149.9999","1050 -> 1050"
"158","NAF CERAM","MADRID SILVER 25/75","724 -> 720","10.05 -> 10","482.67 -> 480","740 -> 739.99992","660 -> 660"
"95","TECHNO CERAM","MAGMA OXIDO POLI REC 45/90","852.525 -> 816.4800000000001","14.61 -> 14","701.67 -> 672","1500 -> 1500.0006","1400 -> 1400"
"3271","NAF CERAM","MALAGA SILVER RELIEFE 25/75 (M²)","105 -> 105","1.46 -> 1.45833333333333","70 -> 70","860 -> 860.00004","760 -> 760"
"103","TIMGAD CERAM","MALAYSIA PERLA 45/90","1600.155 -> 1632.96","23.51 -> 24","1317 -> 1344","1150 -> 1149.9999","1050 -> 1050"
"3608","TIMGAD CERAM","MALTA GRIS 45/45","3470.0775 -> 3476.16","50.91 -> 51","2443.72 -> 2448","740 -> 740.0001","700 -> 700"
"2900","TECHNO CERAM","MARA MARFIL 30/90","77.76 -> 0","1 -> 0","48 -> 0","980 -> 980","900 -> 900"
"3164","TECHNO CERAM","MARA MARFIL RELIEFE 30/90 (M²)","4.86 -> 0","0.06 -> 0","3 -> 0","1030 -> 1030","950 -> 950"
"242","TECHNO CERAM","MARABELLA 30/90","311.04 -> 233.28000000000003","4 -> 3","192 -> 144","980 -> 980","900 -> 900"
"3163","TECHNO CERAM","MARABELLA RELIEFE 30/90 (M²)","77.76 -> 0","1 -> 0","48 -> 0","1030 -> 1030","950 -> 950"
"3096","TIMGAD CERAM","MARBELLA RELIEFE 30/90 (36C) (M²)","1150.2 -> 1150.2","19.72 -> 19.7222222222222","710 -> 710","1000 -> 999.9999","900 -> 900"
"465","ELVA CERAM","MARCHE GRANIT CREMA 120/60","376.56 -> 378","6.97 -> 7","188.28 -> 189","1200 -> 1199.9999","1100 -> 1100"
"3369","GRAND CERAM","MARMOL CREMA REC 60/60","311.04 -> 259.2","6 -> 5","216 -> 180","0 -> 0","920 -> 0"
"3376","GRAND CERAM","MARMOL GRIS REC 60/60","155.52 -> 207.35999999999999","3 -> 4","108 -> 144","0 -> 0","920 -> 0"
"247","TIMGAD CERAM","MAUREEN BLACK POLI REC 120/60","36.48 -> 0","0.52 -> 0","18.24 -> 0","1300 -> 1299.9996","1200 -> 1200"
"3181","TECHNO CERAM","MELINA MARFIL REC 60/60 (2ÉME)","1584 -> 0","30.56 -> 0","1100 -> 0","580 -> 580","500 -> 500"
"378","ROYAL CERAM","MILKA BLANC 25/75","575.438 -> 576","7.99 -> 8","383.63 -> 384","750 -> 750","7 -> 0"
"357","ROYAL CERAM","MILKA TURQUOISE 25/75","648 -> 648","9 -> 9","432 -> 432","750 -> 750","9 -> 0"
"70","TECHNO CERAM","MIRABELE BLANC POLI REC 120/60","730.4 -> 700","10.43 -> 10","365.2 -> 350","1280 -> 1280.0004","1200 -> 1200"
"3023","TECHNO CERAM","MIRNA EXTRA REC 60/60","155.52 -> 0","3 -> 0","108 -> 0","1030 -> 1030.00045","950 -> 950"
"3609","TECHNO CERAM","MIRNA EXTRA SATINE REC 60/60","1710.72 -> 1140.48","33 -> 22","1188 -> 792","1030 -> 1030.00045","950 -> 950"
"1571","TIMGAD CERAM","MOON LIGHT GRIS REC 60/60","2177.28 -> 2436.48","42 -> 47","1512 -> 1692","1000 -> 1000.00044","920 -> 920"
"1625","TIMGAD CERAM","MOON WHITE REC 60/60","9889.92 -> 6479.999999999999","190.78 -> 125","6868 -> 4499.999999999999","1000 -> 1000.00044","920 -> 920"
"3619","TECHNO CERAM","MOZART NOIR POLI REC 45/90","578.34 -> 583.2","9.92 -> 10","476 -> 480","1500 -> 1500.0006","1400 -> 1400"
"3340","TIMGAD CERAM","NAPOLI POLI REC 45/90","1146.96 -> 1156.68","16.86 -> 17","944 -> 952","1500 -> 1500.0006","1400 -> 1400"
"129","TIMGAD CERAM","NAPOLI POLI REC 90/90","1007.64 -> 984.96","19.44 -> 19","622 -> 608","1650 -> 1649.9998","1550 -> 1550"
"162","TIMGAD CERAM","NERO SAND 30/60","1073.52 -> 1088.6399999999999","11.83 -> 12","852 -> 863.9999999999999","850 -> 849.99975","750 -> 750"
"2137","NEW TECH","NEVADO 45/45","1036.3975 -> 613.4399999999999","15.21 -> 9","729.86 -> 432","700 -> 699.99996","660 -> 660"
"2983","TIMGAD CERAM","NEWYORK MATT REC 60/60","1071.36 -> 1073.52","20.96 -> 21","754.48 -> 756","1000 -> 1000.00044","920 -> 920"
"3621","TIMGAD CERAM","NOOR BEIGE 45/90","5337.36 -> 3538.0800000000004","78.44 -> 52","4392.89 -> 2912","1100 -> 1100","1000 -> 1000"
"670","ROYAL CERAM","NOOR CREMA 25/75","144 -> 144","2 -> 2","96 -> 96","750 -> 750","2 -> 0"
"3298","ROYAL CERAM","NOOR CREMA 45/45 (2ÉME)","68.16 -> 68.16","1 -> 1","48 -> 48","530 -> 530","1 -> 0"
"3622","TIMGAD CERAM","NOOR GRIS 45/90","2400.84 -> 2381.4","35.29 -> 35","1976 -> 1960","1100 -> 1100","1000 -> 1000"
"524","ROYAL CERAM","NOOR MARON 25/75","288 -> 288","4 -> 4","192 -> 192","750 -> 750","4 -> 0"
"177","GALA CERAM","OLYMPIA 45/90","680.4 -> 612.36","10 -> 9","560 -> 504","1100 -> 1100","1000 -> 1000"
