Group #,Category/Family,Kept Product Name,Kept Product ID,Old Product Name,Old Product ID,Final Quantity,Qty Added from Old,Sales Reassigned,Purchases Reassigned
"13","TIMGAD CERAM","SAMARA RELIEFE 45/90 (M²)","3054","SAMARA RELIEFE 45/90 (Mý)","287","798.255","0","0","0"
"14","TECHNO CERAM","ENERGIE REC 120/60 (2éme)","3292","ENERGIE REC 120/60 (2me)","291","128.48","0","0","0"
"15","TECHNO CERAM","AVION CREMA RELIEFE 30/90 (M²)","3071","AVION CREMA RELIEFE 30/90 (Mý)","301","855.36","0","0","0"
"16","TIMGAD CERAM","EVA GRIS DARK 45/45","3572","EVA DARK GRIS 45/45","303","681.6","0","0","0"
"17","TIMGAD CERAM","STYLE RELIEFE 25/75 (M²)","3083","STYLE RELIEFE 25/75 (Mý)","314","904.5","0","0","0"
"18","NAF CERAM","MALAGA GOLD RELIEFE 25/75 (M²)","3263","MALAGA GOLD RELIEFE 25/75 (Mý)","316","0","0","0","0"
"19","TECHNO CERAM","FIRST PERLA RELIEFE 30/90 (M²)","3074","FIRST PERLA RELIEFE 30/90 (Mý)","333","388.8","0","0","0"
"20","TECHNO CERAM","DENVER GRAFITO RELIEFE 25/75 (M²)","3050","DENVER GRAFITO RELIEFE 25/75 (Mý)","360","754.56","0","0","0"
"21","TECHNO CERAM","ROCKWELL TOFFEE RELIEFE 30/90 (M²)","3105","ROCKWELL TOFFEE RELIEFE 30/90 (Mý)","375","466.56","0","0","0"
"22","SAM CERAM","PALMYRE NOIR 45/45 (2éme)","3069","PALMYRE NOIR 45/45 (2me)","376","460.08","0","0","0"
"23","TECHNO CERAM","TERRE PERLA POLI REC 150/75 (2éme)","3302","TERRE PERLA POLI REC 150/75 (2me)","403","472.5","0","0","0"
"24","TIMGAD CERAM","ALPE RELIEFE 45/90 (M²)","3143","ALPE RELIEFE 45/90 (Mý)","411","468.99","0","0","0"
"25","TECHNO CERAM","FORMULA MARFIL RELIEFE 45/90 (M²)","3130","FORMULA MARFIL RELIEFE 45/90 (Mý)","422","232.32","0","0","0"
"26","TECHNO CERAM","CALACATA RELIEFE 45/90 (48C) (M²)","3260","CALACATA RELIEFE 45/90 (48C) (Mý)","424","233.28","0","0","0"
"27","TECHNO CERAM","VENICIA GOLD RELIEFE 45/90 (M²)","3304","VENICIA GOLD RELIEFE 45/90 (Mý)","437","58.32","0","0","0"
"28","TECHNO CERAM","VERONA MARFIL RELIEFE 45/90 (M²)","3064","VERONA MARFIL RELIEFE 45/90 (Mý)","439","392.04","0","0","0"
"29","TIMGAD CERAM","HAWAI PERLA RELIEFE 30/90 (M²)","3097","HAWAI PERLA RELIEFE 30/90 (Mý)","456","392.04","0","0","0"
"30","TIMGAD CERAM","SYDNEY BEIGE RELIEFE 45/90 (M²)","3131","SYDNEY BEIGE RELIEFE 45/90 (Mý)","459","250.29","0","0","0"
"31","TECHNO CERAM","CELINE MARFIL RELIEFE 30/90 (M²)","3075","CELINE MARFIL RELIEFE 30/90 (Mý)","466","383.94","0","0","0"
"32","TECHNO CERAM","ROCKWELL TOFFEE 30/90 (2éme)","3173","ROCKWELL TOFFEE 30/90 (2me)","467","0","0","0","0"
"33","TECHNO CERAM","CHICAGO MARFIL RELIEFE 25/75 (M²)","3061","CHICAGO MARFIL RELIEFE 25/75 (Mý)","475","419.2","0","0","0"
"34","TIMGAD CERAM","PLAZA GREEN POLI REC 120/60","3629","PLAZA GREEN POLI/REC 120/60","478","210","0","0","0"
"35","TECHNO CERAM","ROMA BLANC RELIEFE 120/60 (2éme)","3217","ROMA BLANC RELIEFE 120/60 (2me)","482","350","0","0","0"
"36","TIMGAD CERAM","LEO MARFIL RELIEFE 25/75 (M²)","3085","LEO MARFIL RELIEFE 25/75 (Mý)","495","417","0","0","0"
"37","TIMGAD CERAM","GLASS BEIGE RELIEFE 25/75 (M²)","3088","GLASS BEIGE RELIEFE 25/75 (Mý)","500","414","0","0","0"
"38","TECHNO CERAM","TESLA BEIGE RELIEFE 30/90 (M²)","3072","TESLA BEIGE RELIEFE 30/90 (Mý)","523","311.04","0","0","0"
"39","TECHNO CERAM","VERONA GRIS RELIEFE 45/90 (M²)","3060","VERONA GRIS RELIEFE 45/90 (Mý)","525","261.36","0","0","0"
"40","TECHNO CERAM","VIVA PERLA RELIEFE 30/90 (M²)","3067","VIVA PERLA RELIEFE 30/90 (Mý)","539","77.76","0","0","0"
