Category/Family,Group Type,Product ID,Product Code,Product Name
"CERAM DECOR","REC Duplicate","3773","FICHE:LEGEND GRIS REC 60/60","FICHE:LEGEND GRIS REC 60/60"
"CERAM DECOR","REC Duplicate","1615","FICHE:SAVANA WHITE 60/60","FICHE:SAVANA WHITE 60/60"
"CERAM DECOR","REC Duplicate","1175","FICHE:SAVANA WHITE REC 60/60","FICHE:SAVANA WHITE REC 60/60"
"CERAM DECOR","REC Duplicate","3477","FICHE:RIVANO GOLD 60/60","FICHE:RIVANO GOLD 60/60"
"CERAM DECOR","REC Duplicate","3805","FICHE:RIVANO GOLD REC 60/60","FICHE:RIVANO GOLD REC 60/60"
"CERAM DECOR","REC Duplicate","1440","FICHE:VENICE GOLD 60/60","FICHE:VENICE GOLD 60/60"
"CERAM DECOR","REC Duplicate","3839","FICHE:VENICE GOLD REC 60/60","FICHE:VENICE GOLD REC 60/60"
"CERAM DECOR","REC Duplicate","3361","SOFT BEIGE 60/60","SOFT BEIGE 60/60"
"CERAM DECOR","REC Duplicate","3649","SOFT BEIGE REC 60/60","SOFT BEIGE REC 60/60"
"CERAM DECOR","REC Duplicate","3712","FICHE:SOFT BEIGE 60/60","FICHE:SOFT BEIGE 60/60"
"CERAM DECOR","REC Duplicate","3826","FICHE:SOFT BEIGE REC 60/60","FICHE:SOFT BEIGE REC 60/60"
"CERAM DECOR","REC Duplicate","1748","VENICE GOLD 60/60","VENICE GOLD 60/60"
"CERAM DECOR","REC Duplicate","3672","VENICE GOLD REC 60/60","VENICE GOLD REC 60/60"
"CERAM DECOR","REC Duplicate","3504","VERONA WHITE 60/60","VERONA WHITE 60/60"
"CERAM DECOR","REC Duplicate","3674","VERONA WHITE REC 60/60","VERONA WHITE REC 60/60"
"TIMGAD CERAM","Spacing Variation","1048","FICHE: MALAGA TAUPE 45/45","FICHE: MALAGA TAUPE 45/45"
"TIMGAD CERAM","Spacing Variation","3777","FICHE:MALAGA TAUPE 45/45","FICHE:MALAGA TAUPE 45/45"
"TIMGAD CERAM","Spacing Variation","1829","FICHE: EUROPA GLOSSY 45/90","FICHE: EUROPA GLOSSY 45/90"
"TIMGAD CERAM","Spacing Variation","3754","FICHE:EUROPA GLOSSY 45/90","FICHE:EUROPA GLOSSY 45/90"
"TIMGAD CERAM","Spacing Variation","3862","MOTIF MADRID GEO 45/90","MOTIF MADRID GEO 45/90"
"TIMGAD CERAM","Spacing Variation","991","MOTIF MADRID GEO  45/90","MOTIF MADRID GEO  45/90"
"TIMGAD CERAM","Spacing Variation","3865","MOTIF SWEET/NOBLE GRIS 45/90","MOTIF SWEET/NOBLE GRIS 45/90"
"TIMGAD CERAM","Spacing Variation","3610","MOTIF  SWEET/NOBLE GRIS 45/90","MOTIF  SWEET/NOBLE GRIS 45/90"
"TIMGAD CERAM","Spacing Variation","3608","MALTA GRIS 45/45","MALTA GRIS 45/45"
"TIMGAD CERAM","Spacing Variation","282","MALTA  GRIS 45/45","MALTA  GRIS 45/45"
"TIMGAD CERAM","Spacing Variation","1890","FICHE: SERIE LV 45/90","FICHE: SERIE LV 45/90"
"TIMGAD CERAM","Spacing Variation","3815","FICHE:SERIE LV 45/90","FICHE:SERIE LV 45/90"
