Group #,Family,Kept ID,Kept Name,Kept Orig Qty,Old ID,Old Name,Old Orig Qty,Old Sales Qty,Old Purchase Qty,Prev Wrongly Added,Correction Applied,Final Qty
"48","TIMGAD CERAM","3091","VERONA BEIGE RELIEFE 25/75 (M²)","273","594","VERONA BEIGE RELIEFE 25/75 (Mý)","0","0","0","0","0","273"
"49","NAF CERAM","3290","ELEGANCE GOLD 25/60 (2éme)","0","601","ELEGANCE GOLD 25/60 (2me)","0","0","0","0","0","0"
"50","TIMGAD CERAM","3089","DORIAN GRIS RELIEFE 25/75 (M²)","253.5","604","DORIAN GRIS RELIEFE 25/75 (Mý)","0","0","0","0","0","253.5"
"51","NAF CERAM","3296","MOTIF ELEGANCE GOLD 25/60 (2éme)","900","620","MOTIF ELEGANCE GOLD 25/60 (2me)","0","0","0","0","0","900"
"52","SANI DECOR","3226","SIEGE SEPARE OMEGA VERTICAL (2éme) (SD2-750-VER)","13","627","SIEGE SEPARE OMEGA VERTICAL (2me) (SD2-750-VER)","0","0","0","0","0","13"
"53","TECHNO CERAM","3052","REMINI BLEU RELIEFE 30/90 (M²)","155.52","645","REMINI BLEU RELIEFE 30/90 (Mý)","0","0","0","0","0","155.52"
"54","TECHNO CERAM","3076","EXTRA MARFIL SIMPLE RELIEFE 30/90 (M²)","77.76","646","EXTRA MARFIL SIMPLE RELIEFE 30/90 (Mý)","0","0","0","0","0","77.76"
"55","TECHNO CERAM","3049","SAVANA MARFIL RELIEFE 25/75 (M²)","167.68","648","SAVANA MARFIL RELIEFE 25/75 (Mý)","0","0","0","0","0","167.68"
"56","TECHNO CERAM","3237","CLARA GOLD POLI REC 90/90 (2éme)","129.6","651","CLARA GOLD POLI REC 90/90 (2me)","0","0","0","0","0","129.6"
"57","CERAM DECOR","3252","CATANIA SILVER RELIEFE 45/90 (M²)","58.32","652","CATANIA SILVER RELIEFE 45/90 (Mý)","0","0","0","0","0","58.32"
"58","ELVA CERAM","3070","CARLA GRIS REC 60/60 (2éme)","51.84","675","CARLA GRIS REC 60/60 (2me)","0","0.36","0","0","-0.36","51.48"
"59","NAF CERAM","3271","MALAGA SILVER RELIEFE 25/75 (M²)","105","701","MALAGA SILVER RELIEFE 25/75 (Mý)","0","0","0","0","0","105"
"60","TIMGAD CERAM","3094","DORIAN WHITE RELIEFE 25/75 (M²)","174","703","DORIAN WHITE RELIEFE 25/75 (Mý)","0","0","0","0","0","174"
"61","CERAM DECOR","3280","GEANT BEIGE 45/45 (2éme)","0","707","GEANT BEIGE 45/45 (2me)","0","0","0","0","0","0"
"62","NAF CERAM","3297","MOTIF ELEGANCE SILVER 25/60 (2éme)","750","733","MOTIF ELEGANCE SILVER 25/60 (2me)","0","0","0","0","0","750"
"63","SANI DECOR","3148","SIEGE SUSPENDUE DELTA (2éme) (SD-522-PK)","15","749","SIEGE SUSPENDUE DELTA (2me) (SD-522-PK)","0","0","0","0","0","15"
"64","SANI DECOR","3310","SIEGE TURQUE FLORA (SD2-355-ST) (2éme)","8","753","SIEGE TURQUE FLORA (SD2-355-ST) (2me)","1","0","0","1","-1","8"
"65","TECHNO CERAM","3268","MARABELLA RELIEFE 30/90 (2éme)","77.76","778","MARABELLA RELIEFE 30/90 (2me)","0","0","0","0","0","77.76"
"66","NAF CERAM","3121","TEMACINE GRIS RELIEFE 25/60 (M²)","72","779","TEMACINE GRIS RELIEFE 25/60 (Mý)","0","0","0","0","0","72"
"67","CERAM DECOR","3132","BRITISH LIGHT REC 20/90 (2éme)","0","787","BRITISH LIGHT REC 20/90 (2me)","0","0","0","0","0","0"
"68","TECHNO CERAM","3235","SIFAR MARFIL POLI REC 90/90 (2éme)","0","794","SIFAR MARFIL POLI REC 90/90 (2me)","0","0","0","0","0","0"
"69","SANI DECOR","3162","AVABO VENUS (2éme) (SD-1065)","6","806","AVABO VENUS (2me) (SD-1065)","0","0","0","0","0","6"
"70","CERAM DECOR","3264","CHANEL GRIS REC 60/60 (2éme)","483.84","808","CHANEL GRIS REC 60/60 (2me)","0","0","0","0","0","483.84"
"71","SAM CERAM","3113","CLEAN DECOR 25/75 (2éme)","72","812","CLEAN DECOR 25/75 (2me)","0","0","0","0","0","72"
"72","ROYAL CERAM","3298","NOOR CREMA 45/45 (2éme)","68.16","814","NOOR CREMA 45/45 (2me)","0","0","0","0","0","68.16"
"73","TECHNO CERAM","3078","ROMA BLANC RELIEFE WAVE (A) 45/90 (M²)","0","826","ROMA BLANC RELIEFE WAVE (A) 45/90 (Mý)","0","0","0","0","0","0"
"74","ELVA CERAM","3119","JAPAN GRIS DECOR REC 120/60 (2éme)","68","834","JAPAN GRIS DECOR REC 120/60 (2me)","0","0","0","0","0","68"
"75","TIMGAD CERAM","3090","TOKYO BEIGE RELIEFE 25/75 (M²)","93","835","TOKYO BEIGE RELIEFE 25/75 (Mý)","0","0","0","0","0","93"
"76","NAF CERAM","3267","PIXEL GRIS RELIEFE 25/75 (M²)","45","848","PIXEL GRIS RELIEFE 25/75 (Mý)","0","0","0","0","0","45"
"77","NAF CERAM","3120","TEMACINE BEIGE RELIEFE 25/60 (M²)","84","858","TEMACINE BEIGE RELIEFE 25/60 (Mý)","0","0","0","0","0","84"
"78","NAF CERAM","3125","DIANA BEIGE RELIEFE 25/60 (M²)","42","859","DIANA BEIGE RELIEFE 25/60 (Mý)","0","0","0","0","0","42"
"79","TIMGAD CERAM","3086","SWEET GRIS RELIEFE 25/75 (M²)","1638","901","SWEET GRIS RELIEFE 25/75 (Mý)","0","0","0","0","0","1638"
"80","NAF CERAM","3221","ALASKA SILVER RELIEFE 25/75 (M²)","42","904","ALASKA SILVER RELIEFE 25/75 (Mý)","0","0","0","0","0","42"
"81","SEK CERAM","3099","MOTIF AXEL M² 25/60","273","906","MOTIF AXEL Mý 25/60","0","0","0","0","0","273"
